x,y,z
591.3652,19.07035,686.6793
591.3479,19.068,686.6655
591.3306,19.06565,686.6519
591.3133,19.06328,686.6382
591.2959,19.06091,686.6246
591.2785,19.05852,686.6111
591.261,19.05612,686.5976
591.2436,19.05372,686.584
591.2261,19.05131,686.5706
591.2085,19.04889,686.5571
591.191,19.04646,686.5438
591.1734,19.04403,686.5305
591.1559,19.04159,686.5172
591.1382,19.03914,686.5039
591.1205,19.03669,686.4907
591.1029,19.03423,686.4775
591.0852,19.03177,686.4644
591.0675,19.02931,686.4512
591.0497,19.02683,686.4381
591.032,19.02435,686.425
591.0141,19.02188,686.412
590.9963,19.01939,686.399
590.9785,19.01691,686.386
590.9606,19.01443,686.3731
590.9427,19.01193,686.3602
590.9247,19.00944,686.3474
590.9068,19.00695,686.3346
590.8888,19.00446,686.3218
590.8708,19.00197,686.309
590.8528,18.99948,686.2963
590.8347,18.99698,686.2837
590.8167,18.99449,686.271
590.7986,18.992,686.2584
590.7804,18.98951,686.2458
590.7623,18.98703,686.2332
590.7442,18.98455,686.2208
590.726,18.98207,686.2083
590.7078,18.97959,686.1958
590.6895,18.97712,686.1834
590.6713,18.97465,686.171
590.653,18.97219,686.1587
590.6348,18.96973,686.1464
590.6165,18.96729,686.1342
590.598,18.96483,686.1219
590.5797,18.96239,686.1096
590.5613,18.95995,686.0975
590.5429,18.95753,686.0853
590.5245,18.95512,686.0732
590.5061,18.95271,686.0612
590.4875,18.9503,686.0491
590.469,18.9479,686.037
590.4504,18.94552,686.025
590.4319,18.94315,686.0131
590.4134,18.94079,686.0012
590.3949,18.93845,685.9894
590.3762,18.9361,685.9774
590.3575,18.93377,685.9656
590.3388,18.93145,685.9537
590.3202,18.92915,685.942
590.3015,18.92687,685.9303
590.2829,18.9246,685.9186
590.264,18.92233,685.9069
590.2452,18.92008,685.8953
590.2264,18.91785,685.8837
590.2076,18.91565,685.8721
590.1889,18.91346,685.8606
590.1702,18.91129,685.8491
590.1512,18.90912,685.8376
590.1322,18.90698,685.8261
590.1133,18.90485,685.8147
590.0944,18.90276,685.8033
590.0754,18.90068,685.792
590.0566,18.89864,685.7807
590.0375,18.89659,685.7694
590.0184,18.89457,685.7581
589.9993,18.89257,685.7468
589.9803,18.89061,685.7356
589.9613,18.88868,685.7245
589.9423,18.88677,685.7134
589.923,18.88487,685.7023
589.9038,18.883,685.6912
589.8846,18.88116,685.6802
589.8655,18.87936,685.6692
589.8464,18.8776,685.6583
589.8271,18.87585,685.6473
589.8078,18.87413,685.6364
589.7885,18.87244,685.6254
589.7692,18.87079,685.6146
589.7499,18.86918,685.6039
589.7307,18.86761,685.5931
589.7112,18.86605,685.5823
