x,y,z
504.0555,28.45543,527.118
504.102,28.45798,527.1229
504.1482,28.46051,527.1278
504.1943,28.46302,527.1328
504.2405,28.46552,527.1377
504.2867,28.46801,527.1427
504.3329,28.47048,527.1476
504.3792,28.47294,527.1527
504.4255,28.4754,527.1577
504.4719,28.47784,527.1628
504.5183,28.48027,527.1679
504.5648,28.48269,527.173
504.6111,28.48509,527.1782
504.6572,28.48746,527.1833
504.7033,28.48982,527.1884
504.7495,28.49217,527.1936
504.7957,28.4945,527.1989
504.842,28.49683,527.204
504.8883,28.49915,527.2092
504.9346,28.50145,527.2145
504.981,28.50374,527.2198
505.0274,28.50602,527.2252
505.0738,28.50828,527.2305
505.12,28.51052,527.2358
505.1661,28.51274,527.2411
505.2122,28.51496,527.2465
505.2584,28.51715,527.2519
505.3046,28.51934,527.2573
505.3509,28.52152,527.2628
505.3972,28.52368,527.2682
505.4435,28.52583,527.2737
505.4898,28.52797,527.2792
505.5362,28.5301,527.2847
505.5826,28.53221,527.2902
505.6287,28.53429,527.2957
505.6748,28.53637,527.3013
505.721,28.53843,527.3068
505.7672,28.54047,527.3124
505.8134,28.54251,527.318
505.8596,28.54453,527.3236
505.9059,28.54654,527.3292
505.9522,28.54854,527.3349
505.9985,28.55053,527.3406
506.0449,28.5525,527.3463
506.0912,28.55445,527.3519
506.1373,28.55638,527.3577
506.1834,28.5583,527.3633
506.2296,28.56021,527.3691
506.2758,28.56211,527.3749
506.322,28.56399,527.3806
506.3682,28.56586,527.3864
506.4145,28.56771,527.3922
506.4608,28.56955,527.3981
506.5071,28.57138,527.4039
506.5534,28.5732,527.4097
506.5995,28.575,527.4156
506.6457,28.57677,527.4214
506.6918,28.57854,527.4273
506.738,28.58029,527.4332
506.7842,28.58203,527.4391
506.8304,28.58376,527.4451
506.8766,28.58547,527.451
506.9229,28.58717,527.457
506.9691,28.58885,527.463
507.0154,28.59052,527.4689
507.0617,28.59218,527.475
507.1078,28.59381,527.481
507.154,28.59544,527.4869
507.2001,28.59705,527.493
507.2463,28.59864,527.499
507.2925,28.60022,527.5051
507.3387,28.60179,527.5112
507.3849,28.60334,527.5173
507.4311,28.60488,527.5234
507.4774,28.6064,527.5295
507.5236,28.60791,527.5356
507.5699,28.60941,527.5417
