UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
23.54405,538.4887,19.20016,642.4771,359.6153,206.1008,1.964108,538.4899,19.20021,642.4766,359.6165,206.1083,1.964016,0.03712566,9.536743E-05,-0.001159668,-5.149841E-05,0.0005493164,-0.001190186,-0.007507324,9.262562E-05,
23.54905,538.4807,19.20029,642.4607,359.5766,205.8436,1.967379,538.4819,19.20037,642.4601,359.578,205.8522,1.967261,0.04109236,0.0001239777,-0.001220703,-7.820129E-05,0.0006103516,-0.001373291,-0.008575439,0.0001183748,
23.55405,538.4728,19.20043,642.4443,359.5382,205.5892,1.970992,538.474,19.20052,642.4438,359.5399,205.6001,1.970823,0.04505045,0.0001335144,-0.001159668,-8.964539E-05,0.0005493164,-0.00177002,-0.01091003,0.0001689196,
23.55905,538.4649,19.20058,642.4277,359.4999,205.3391,1.97493,538.4659,19.20068,642.4272,359.5016,205.3499,1.974749,0.04908428,0.0001335144,-0.001037598,-9.346008E-05,0.0004882813,-0.001708984,-0.01080322,0.0001809597,
23.56405,538.4571,19.20075,642.4111,359.4618,205.0929,1.979189,538.4579,19.20083,642.4107,359.4634,205.1037,1.979,0.05314698,0.0001106262,-0.000793457,-8.010864E-05,0.0003662109,-0.001617432,-0.01075745,0.0001890659,
23.56905,538.4492,19.20093,642.3942,359.424,204.8494,1.983774,538.4498,19.20099,642.394,359.425,204.8571,1.983629,0.05727165,7.820129E-05,-0.0005493164,-5.722046E-05,0.0002441406,-0.001098633,-0.007751465,0.0001444817,
23.57405,538.4415,19.20112,642.3773,359.3864,204.6119,1.988642,538.4416,19.20115,642.3772,359.3868,204.6145,1.988584,0.06143385,2.479553E-05,-0.0001220703,-2.098083E-05,6.103516E-05,-0.0004272461,-0.002532959,5.781651E-05,
23.57905,538.4337,19.20133,642.3602,359.3488,204.3755,1.993837,538.4338,19.20137,642.3601,359.3486,204.3746,1.993866,0.0656223,4.386902E-05,-0.0001831055,-3.814697E-05,6.103516E-05,0.0001831055,0.000869751,-2.896786E-05,
23.58405,538.4259,19.20155,642.343,359.3115,204.1431,1.999323,538.4264,19.20165,642.3427,359.3106,204.1371,1.999469,0.06984431,0.0001163483,-0.0004882813,-9.727478E-05,0.0002441406,0.0009460449,0.00592041,-0.0001455545,
23.58904,538.4182,19.20179,642.3257,359.2744,203.9147,2.005093,538.4189,19.20193,642.3253,359.2726,203.9036,2.005377,0.07409456,0.0001754761,-0.000793457,-0.0001449585,0.0003662109,0.001800537,0.01107788,-0.0002841949,
23.59404,538.4108,19.20202,642.3091,359.2392,203.6993,2.010709,538.4119,19.20221,642.3087,359.2383,203.6937,2.011021,0.0779844,0.0002212524,-0.001037598,-0.0001811981,0.0004272461,0.0008850098,0.005615234,-0.0003123283,
23.59904,538.4035,19.20227,642.2924,359.2044,203.4891,2.016489,538.4047,19.20248,642.2919,359.2041,203.4873,2.016886,0.08188716,0.0002609167,-0.001220703,-0.000207901,0.0004882813,0.0003051758,0.001800537,-0.0003972054,
23.60404,538.3964,19.20253,642.2758,359.1698,203.2825,2.022498,538.3976,19.20275,642.2752,359.1703,203.2849,2.022954,0.085784,0.0002670288,-0.001220703,-0.0002193451,0.0005493164,-0.0004882813,-0.002426147,-0.0004556179,
